address,name,size,outcome,source,evidence
0x080507F4,FUN_080507f4,290,parked,,ROM statik triyaj: 7 cagri / 19 kosullu dal / 6 literal; bagimli imza-ve-tur blogu gerekli
0x08051154,FUN_08051154,348,parked,,ROM statik triyaj: 33 cagri / 6 kosullu dal / 6 literal; bagimli imza-ve-tur blogu gerekli
0x0805135C,RunFrameStageOne,132,matching,src/core/frame_dispatch.c,ROM byte-matching
0x080513E0,RunFrameStageTwo,120,matching,src/core/frame_dispatch.c,ROM byte-matching
0x08051540,AdjustAreaPosition,144,matching,src/core/adjust_area_position.c,ROM byte-matching
0x080515D0,FUN_080515d0,164,parked,src/core/mark_area_cells.c,164/164 bayt; 20 bayt fark; iki global literal yukleme sirasi
0x080534A8,FUN_080534a8,424,parked,,ROM statik triyaj: 9 cagri / 21 kosullu dal / 3 literal; bagimli imza-ve-tur blogu gerekli
0x08053834,FUN_08053834,250,parked,src/core/nodelist_b2.c,Mevcut dogal C park kaynagi; dosya ici olcum ve elenen varyant notlari
0x08055054,FUN_08055054,312,parked,src/core/nodelist_b7.c,Mevcut dogal C park kaynagi; dosya ici olcum ve elenen varyant notlari
0x08055514,FUN_08055514,124,parked,,ROM statik triyaj: 2 cagri / 7 kosullu dal / 3 literal; bagimli imza-ve-tur blogu gerekli
0x08055970,ProbeNearbyPosition,144,matching,src/core/probe_nearby_position.c,ROM byte-matching
0x08056280,FUN_08056280,124,parked,,ROM statik triyaj: 1 cagri / 7 kosullu dal / 6 literal; bagimli imza-ve-tur blogu gerekli
0x080563C0,FUN_080563c0,124,parked,src/core/count_area_entries.c,124/124 bayt; 95 bayt fark; alan bankasi taban yasam araligi
0x0805643C,ResetRuntimeGlobals,204,matching,src/core/reset_runtime_globals.c,ROM byte-matching
0x0805AC94,LinkObjectPair,124,matching,src/world/link_objects.c,ROM byte-matching
0x0805DAC8,FUN_0805dac8,492,parked,,ROM statik triyaj: 35 cagri / 2 kosullu dal / 19 literal; bagimli imza-ve-tur blogu gerekli
0x0805E700,FUN_0805e700,200,parked,,ROM statik triyaj: 9 cagri / 7 kosullu dal / 5 literal; bagimli imza-ve-tur blogu gerekli
0x0805E7C8,FUN_0805e7c8,540,parked,,ROM statik triyaj: 16 cagri / 19 kosullu dal / 12 literal; bagimli imza-ve-tur blogu gerekli
0x08064180,FUN_08064180,396,parked,src/text/text_f3.c,Mevcut dogal C park kaynagi; dosya ici olcum ve elenen varyant notlari
0x08064590,ClearTextArea,132,parked,src/text/clear_text_area.c,Mevcut dogal C park kaynagi; dosya ici olcum ve elenen varyant notlari
0x08064724,FUN_08064724,536,parked,src/text/text_f5.c,Mevcut dogal C park kaynagi; dosya ici olcum ve elenen varyant notlari
0x08064DFC,FUN_08064dfc,294,parked,,ROM statik triyaj: 4 cagri / 16 kosullu dal / 3 literal; bagimli imza-ve-tur blogu gerekli
0x08066568,FUN_08066568,164,parked,,ROM statik triyaj: 1 cagri / 0 kosullu dal / 8 literal; RAM tur blogu gerekli
0x0806660C,FUN_0806660c,304,parked,,ROM statik triyaj: 1 cagri / 13 kosullu dal / 9 literal; RAM tur blogu gerekli
0x08066904,FUN_08066904,316,parked,,ROM statik triyaj: 0 cagri / 14 kosullu dal / 12 literal; RAM tur blogu gerekli
0x08066AA8,BuildLinkReport,152,matching,src/world/link_report.c,ROM byte-matching; data/functions.csv
0x08067014,FUN_08067014,368,parked,,ROM statik triyaj: 1 cagri / 25 kosullu dal / 1 literal; karsilastirma agaci C denemesi gerekli
0x08067404,FUN_08067404,172,parked,,ROM statik triyaj: 0 cagri / 1 kosullu dal / 1 literal; 36 girisli atlama tablosu rekonstruksiyonu gerekli
0x0806B88C,FUN_0806b88c,370,parked,,ROM statik triyaj: 1 cagri / 5 kosullu dal / 8 literal; BIOS/SDK imza blogu gerekli
0x08070D10,FUN_08070d10,132,parked,src/misc/fast_memchr.c,136/132 bayt; 83 bayt fark; r4-r7 dagitimi
0x08070E10,FUN_08070e10,156,parked,,ROM statik triyaj: 3 cagri / 3 kosullu dal / 1 literal; libc kaynak kimligi gerekli
