address,name,size,status,module,notes
0x080010F8,ReadU8,,matching,serialization,Reads one byte from a serialized buffer
0x080010FC,ReadU16LE,,matching,serialization,Reads an unaligned little-endian 16-bit value
0x08001108,ReadU32LE,,matching,serialization,Reads an unaligned little-endian 32-bit value
0x08001120,WriteU8,,matching,serialization,Writes one byte to a serialized buffer
0x08001124,WriteU16LE,,matching,serialization,Writes an unaligned little-endian 16-bit value
0x08001130,WriteU32LE,,matching,serialization,Writes an unaligned little-endian 32-bit value
0x0800114C,BuildActiveMenuItems,,matching,ui,Filters active menu items and calculates horizontal layout; exact 0x114C-0x11EB region
0x080011EC,DrawMenuItems,,matching,ui,Draws active menu labels and formats numeric values; exact 0x11EC-0x13AB region
0x080013AC,InitMenuScreen,,matching,ui,Initializes menu display state and uploads palette/clears VRAM; exact 0x13AC-0x1457 region
0x08001458,RunMenuScreen,,documented,ui,Provisional name; builds/draws menu hierarchy and handles navigation/actions until exit
0x08001DC0,ResetMenuState,,matching,ui,Clears menu globals and active-item pointer table; exact in menu-helper block
0x08001E00,IsMenuFlagSet,,matching,ui,Tests a bit in the menu flag word; exact in menu-helper block
0x08001E1C,FinalizeMenuLayout,,matching,ui,Updates the menu layout-dependent rendering state; exact in menu-helper block
0x08001E30,LoadMenuGraphics,,matching,ui,Loads menu graphics and uploads two palette ranges; exact in menu-graphics block
0x08001EA4,ClearMenuVram,,matching,ui,Fills the menu VRAM range through DMA3; exact in menu-graphics block
0x08001EE4,EnableMenuDisplay,,matching,ui,Writes display control value 0x0101; exact in menu-graphics block
0x08001EF4,EnableMenuDisplayAlt,,matching,ui,Duplicate display-control wrapper; exact in menu-graphics block
0x08032058,IsEntityFlagSet,50,decompiled,world,"Small entity accessor; names derived from behaviour, semantics unverified"
0x08032090,GetEntityFixedFields,20,matching,world,Small entity accessor; body reproduces ROM exactly from src/world/entity_accessors.c
0x080320A4,GetEntityUnk0C,4,matching,world,Small entity accessor; body reproduces ROM exactly from src/world/entity_accessors.c
0x080320A8,GetEntityFlags,8,matching,world,Small entity accessor; body reproduces ROM exactly from src/world/entity_accessors.c
0x080320B0,GetEntityKind,6,matching,world,Small entity accessor; body reproduces ROM exactly from src/world/entity_accessors.c
0x080320B8,GetEntityUnk10,4,matching,world,Small entity accessor; body reproduces ROM exactly from src/world/entity_accessors.c
0x08037F1C,GetUnk0202F2C0,12,matching,misc,Reads one global u32
0x08037F28,GetUnk0202F310,12,matching,misc,Reads one global u32
0x08037F34,GetUnk02028270,12,matching,misc,Reads one global u32
0x08037F40,GetUnk020282A0,12,matching,misc,Reads one global u32
0x08037F4C,GetUnk0202F2D0,12,matching,misc,Reads one global u32; missed by Ghidra auto-analysis
0x08037F58,GetUnk02028290,12,matching,misc,Reads one global u32
0x08037F64,GetUnk02028280,12,matching,misc,Reads one global u32
0x0803C77C,GetScaleFactor,16,matching,misc,Returns 1 or 256 depending on a global byte
0x0803C790,ReturnOne,4,matching,misc,Returns the constant 1; missed by Ghidra auto-analysis
0x0803C794,NoOpSessionHook,2,matching,misc,Empty function
0x0803C798,ResetSessionNode,34,decompiled,misc,Clears two node fields and two session flag bits
0x080514C8,GetRecordUnk04,20,matching,misc,Reads a field of the selected 60-byte record as 16.16 fixed point
0x080514E4,GetRecordUnk08,20,matching,misc,Reads a field of the selected 60-byte record as 16.16 fixed point
0x08051500,GetRecord,14,matching,misc,Returns the address of a 60-byte record
0x0805E6C4,SetTableIndex,12,matching,misc,Selects and reads a 0x9A8-byte ROM record; table contents unidentified
0x0805E6D4,GetTableIndex,6,matching,misc,Selects and reads a 0x9A8-byte ROM record; table contents unidentified
0x0805E6E0,GetRecordWord,20,matching,misc,Selects and reads a 0x9A8-byte ROM record; table contents unidentified
0x0806BCD0,LibraryAssertWrapper0,,discovered,sdk,Provisional Thumb boundary; calls shared handler
0x0806BCE0,LibraryAssertWrapper1,,discovered,sdk,Provisional Thumb boundary; calls shared handler
0x0806BCF0,LibraryAssertHandler,,discovered,sdk,References assertion format at 0x08BD3470
0x0806DCC0,Memset,,documented,sdk,"Standard memset(dest, value, count); builds a 4-byte pattern and writes 16-byte blocks with stmia, byte tail loop, returns dest"
0x0806DE84,_toupper,28,discovered,libc,newlib routine; matched against agbcc libc.a build; identical body to toupper - which symbol occupies this address is undetermined
0x08070CE4,_mbtowc_r,42,documented,libc,newlib routine; body byte-identical to agbcc libc.a build
0x08070DF8,_Bfree,24,documented,libc,newlib routine; body byte-identical to agbcc libc.a build
0x08070F34,_hi0bits,88,documented,libc,newlib routine; body byte-identical to agbcc libc.a build
0x08070F8C,_lo0bits,130,documented,libc,newlib routine; body byte-identical to agbcc libc.a build
0x080716A4,isinf,36,documented,libc,newlib routine; body byte-identical to agbcc libc.a build
0x080716C8,isnan,32,documented,libc,newlib routine; body byte-identical to agbcc libc.a build
0x080717EC,findslot,30,documented,libc,newlib routine; matched against agbcc libc.a build
0x0807180C,remap_handle,76,documented,libc,newlib routine; matched against agbcc libc.a build
0x08071B9C,_exit,32,documented,libc,"newlib syscall stub; body identical to its neighbour but the pair occurs exactly twice in the ROM, 32 bytes apart, matching the syscalls.o layout (_exit at object offset 892, _kill at 924) - order is therefore certain"
0x08071BBC,_kill,32,documented,libc,"newlib syscall stub; body identical to its neighbour but the pair occurs exactly twice in the ROM, 32 bytes apart, matching the syscalls.o layout (_exit at object offset 892, _kill at 924) - order is therefore certain"
0x08071D8C,abort,32,documented,libc,newlib routine; body byte-identical to agbcc libc.a build
